1 Woody Barrett	QB	6-2	231	RS FR	Winter Garden  Fla. (West Orange)
36	Kamryn Pettway 	RB	6-0	237	JR	Montgomery  Ala. (Prattville)
36	Michael Sherwood 	DB	5-9	169	SR	Atlanta  Ga. (Creekside)
37	Logan Rice 	WR	6-0	206	JR	Rome  Ga. (Darlington School)
38	Daniel Carlson 	K	6-4	218	SR	Colorado Springs  Colo. (Classical Academy)
39	Robert Muschamp	FB	6-1	257	SO	Rome  Ga. (Darlington)
39	Conner Sibley	LB	5-10	200	SO	Athens  Ga. (Prince Ave. Christian)
40	Eugene Govan	RB	5-7	190	SO	Grovetown  Ga. (Grovetown)
41	Josh French	LB	5-11	203	FR	Birmingham  Ala. (Shades Valley)
42	Keenan Sweeney	FB	6-0	239	JR	Snellville  Ga. (Brookwood)
42	Tre' Threat	LB	6-1	243	SO	Mobile  Ala. (Spanish Fort)
43	Cedric Chambers	RB	5-7	186	SO	Valley  Ala. (Valley)
43	Ian Shannon 	K/P	6-3	226	SO	Marietta  Ga. (Marietta)
44	Raymond Lester	DB	5-11	171	SO	Marietta  Ga. (Marietta)
45	Chase Cramer	FB	5-10	213	SO	Orlando  Fla. (The First Academy)
45	Jacob Rogers	DB	5-11	206	RS FR	Goodwater  Ala. (Benjamin Russell)
46	Devin Guice	DB	5-8	153	RS FR	Opelika  Ala. (Opelika)
46	Caleb King	TE	6-3	217	SR	Huntsville  Ala. (Mercer)
48	Montavious Atkinson 	LB	6-1	217	JR	Fairburn  Ga. (Langston Hughes)
48	C.J. Tolbert	RB	5-7	187	JR	Dadeville  Ala. (Harding)
49	Darrell Williams 	LB	6-2	247	JR	Hoover  Ala. (Hoover)
50	Chase Ritter	LB	5-10	207	SR	Wetumpka  Ala. (Saint James)
51	Richard McBryde 	LB	6-1	237	SO	Troy  Ala. (Charles Henderson)
52	Nick Brahms	OL	6-4	280	FR	Navarre  Fla. (Navarre)
52	Antwuan Jackson Jr. 	DL	6-2	303	RS FR	Ellenwood  Ga. (Cedar Grove)
53	Clarke Smith 	LS	6-3	224	RS FR	Leeds  Ala. (Leeds)
54	Kaleb Kim	OL	6-4	295	SO	Buford  Ga. (Mill Creek)
56	Tashawn Manning	DL	6-3	315	FR	Apopka  Fla. (Wekiva)
57	Deshaun Davis 	LB	5-11	246	JR	Prichard  Ala. (Vigor)
58	Josh Shockley	LB	5-10	218	JR	Locust Grove  Ga. (Eagle's Landing Christian Acad.)
59	Brodarious Hamm	OL	6-5	340	FR	Griffin  Ga. (Spalding)
61	Ryan Meneely	OL	6-2	324	SO	McDonough  Ga. (Eagle's Landing Christian Acad.)
62	Jaunta'vius Johnson 	DL	6-2	320	SO	Lincoln  Ala. (Lincoln)
64	Mike Horton 	OL	6-4	323	SO	Atlanta  Ga. (Lakeside)
65	Tucker Brown	OL	6-3	290	JR	Trussville  Ala. (Hewitt-Trussville)
66	Bailey Sharp 	OL	6-5	297	SO	Marietta  Ga. (Sprayberry)
67	Tyler Carr	OL	6-5	328	SO	Southside  Ala. (Southside)
68	Zach Wade	LS	5-10	207	JR	Bremen  Ga. (Bremen)
69	Ike Powell	LS	6-3	256	SR	Tifton  Ga. (Tift County)
71	Braden Smith 	OL	6-6	305	SR	Olathe  Kan. (Olathe South)
72	Prince Micheal Sammons	OL	6-7	296	RS FR	Clarksville  Ohio (Cincinnati Hills Christian Academy)
73	Austin Golson 	OL	6-5	314	SR	Prattville  Ala. (Ole Miss)
76	Prince Tega Wanogho 	OL	6-8	300	SO	Elmore  Ala. (Edgewood Academy)
77	Marquel Harrell	OL	6-3	314	SO	Fairburn  Ga. (Creekside)
78	Darius James 	OL	6-4	327	SR	Killeen  Texas (Texas)
79	Andrew Williams 	DL	6-4	285	JR	McDonough  Ga. (Eagle's Landing Christian Acad.)
